@relation SpokenArabicDigits_channel_10

@attribute channel_10_0 numeric
@attribute channel_10_1 numeric
@attribute channel_10_2 numeric
@attribute channel_10_3 numeric
@attribute channel_10_4 numeric
@attribute channel_10_5 numeric
@attribute channel_10_6 numeric
@attribute channel_10_7 numeric
@attribute channel_10_8 numeric
@attribute channel_10_9 numeric
@attribute channel_10_10 numeric
@attribute channel_10_11 numeric
@attribute channel_10_12 numeric
@attribute channel_10_13 numeric
@attribute channel_10_14 numeric
@attribute channel_10_15 numeric
@attribute channel_10_16 numeric
@attribute channel_10_17 numeric
@attribute channel_10_18 numeric
@attribute channel_10_19 numeric
@attribute channel_10_20 numeric
@attribute channel_10_21 numeric
@attribute channel_10_22 numeric
@attribute channel_10_23 numeric
@attribute channel_10_24 numeric
@attribute channel_10_25 numeric
@attribute channel_10_26 numeric
@attribute channel_10_27 numeric
@attribute channel_10_28 numeric
@attribute channel_10_29 numeric
@attribute channel_10_30 numeric
@attribute channel_10_31 numeric
@attribute channel_10_32 numeric
@attribute channel_10_33 numeric
@attribute channel_10_34 numeric
@attribute channel_10_35 numeric
@attribute channel_10_36 numeric
@attribute channel_10_37 numeric
@attribute channel_10_38 numeric
@attribute channel_10_39 numeric
@attribute channel_10_40 numeric
@attribute channel_10_41 numeric
@attribute channel_10_42 numeric
@attribute channel_10_43 numeric
@attribute channel_10_44 numeric
@attribute channel_10_45 numeric
@attribute channel_10_46 numeric
@attribute channel_10_47 numeric
@attribute channel_10_48 numeric
@attribute channel_10_49 numeric
@attribute channel_10_50 numeric
@attribute channel_10_51 numeric
@attribute channel_10_52 numeric
@attribute channel_10_53 numeric
@attribute channel_10_54 numeric
@attribute channel_10_55 numeric
@attribute channel_10_56 numeric
@attribute channel_10_57 numeric
@attribute channel_10_58 numeric
@attribute channel_10_59 numeric
@attribute channel_10_60 numeric
@attribute channel_10_61 numeric
@attribute channel_10_62 numeric
@attribute channel_10_63 numeric
@attribute channel_10_64 numeric
@attribute channel_10_65 numeric
@attribute channel_10_66 numeric
@attribute channel_10_67 numeric
@attribute channel_10_68 numeric
@attribute channel_10_69 numeric
@attribute channel_10_70 numeric
@attribute channel_10_71 numeric
@attribute channel_10_72 numeric
@attribute channel_10_73 numeric
@attribute channel_10_74 numeric
@attribute channel_10_75 numeric
@attribute channel_10_76 numeric
@attribute channel_10_77 numeric
@attribute channel_10_78 numeric
@attribute channel_10_79 numeric
@attribute channel_10_80 numeric
@attribute channel_10_81 numeric
@attribute channel_10_82 numeric
@attribute channel_10_83 numeric
@attribute channel_10_84 numeric
@attribute channel_10_85 numeric
@attribute channel_10_86 numeric
@attribute channel_10_87 numeric
@attribute channel_10_88 numeric
@attribute channel_10_89 numeric
@attribute channel_10_90 numeric
@attribute channel_10_91 numeric
@attribute channel_10_92 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.044692,0.086109,0.57163,0.085991,-0.032857,0.67831,0.038214,0.60317,-0.070116,1.0353,0.63562,0.032471,0.040418,-0.041439,-0.22275,-0.17064,-0.59057,-0.34164,0.58193,0.63824,0.10055,0.10151,0.13786,-0.11756,-0.032893,-0.54921,-0.94938,-0.95749,-0.56211,-0.84022,-0.25914,-0.58903,-0.50388,-0.95032,-0.53618,-0.21335,-0.37365,-0.099087,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.005034,1.0089,0.31544,0.76571,-0.18997,0.009637,-0.19799,0.14155,0.4489,0.10658,0.215,0.29907,0.12517,0.19021,-0.33238,-0.36288,-0.46633,-0.43396,0.19088,-0.34041,0.76576,0.3486,-0.31784,-0.37953,-0.12658,-0.78504,-0.97986,-1.1389,-1.0783,-1.0953,-1.1262,-1.3579,-1.2118,-0.76017,-0.34943,-1.094,-0.51703,-0.62901,-0.26331,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.95991,0.89815,0.81544,0.67076,0.54851,0.39561,0.042738,-0.065152,0.43085,0.26194,0.28834,-0.039985,0.12507,-0.053067,0.40376,0.22014,0.16507,0.17217,-0.54554,-0.75529,-0.31937,-0.33586,0.035133,0.35309,0.68558,0.086741,-0.24114,-1.0341,-0.51465,-1.1774,-0.95652,-0.94273,-1.1935,-1.1113,-1.3241,-1.182,-1.0545,-0.73624,-0.20427,-0.38223,-0.74576,-0.83597,-0.48606,-0.56011,-0.37045,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.60771,0.49987,0.66414,0.77284,0.60106,0.79149,0.25601,-0.021301,-0.032498,0.11123,0.15606,0.064799,0.077617,0.071597,-0.1781,-0.35576,0.48546,0.067856,-0.16265,0.6259,-0.1368,0.28052,0.2173,-0.3711,0.44293,-0.88218,-0.81641,-0.95834,-0.87701,-1.0613,-0.71063,-1.1074,-1.2152,-1.567,-0.83964,-0.26615,-0.098203,0.20654,0.64503,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.0252,0.49381,0.92383,0.4699,0.6354,-0.000665,0.18075,0.47069,0.3051,-0.12218,0.716,0.43139,0.66842,0.72805,0.34479,0.30447,-0.39342,-0.89863,-0.20312,0.52939,0.437,0.217,0.40943,0.64112,-0.13213,0.18499,-0.45111,-0.58838,-1.0225,-1.3946,-1.3816,-1.435,-1.1799,-1.1645,-0.58592,0.13251,-0.37511,-0.61298,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.99393,0.28926,0.44382,0.38644,0.059723,0.39703,0.46653,-0.27696,0.63261,0.50299,0.76903,0.56221,0.33471,0.31514,-0.20519,-1.3001,-0.3708,0.79,0.5591,0.66383,0.82905,0.77595,0.40948,-0.01423,-0.1299,-0.70513,-0.73477,-1.2507,-1.4407,-1.2871,-0.84488,-1.1495,-0.68895,0.003673,-0.42669,0.026015,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.59628,0.42454,1.0538,0.38157,0.58012,0.91015,0.20558,0.41546,0.20063,-0.29851,-0.1495,-0.36784,0.25549,0.2863,0.39242,0.27011,0.20287,0.088407,-0.77809,-0.89343,-0.13534,-0.09858,0.15991,0.4289,0.36381,-0.078709,-0.58417,-0.60451,-0.64446,-0.68593,-0.87541,-0.61101,-0.98511,-0.99564,-1.0259,-0.99738,-0.6649,0.007917,-0.53098,-0.60587,-0.75381,-0.61886,-0.53327,-0.40922,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.3003,0.58827,-0.80253,0.38447,0.67882,0.41225,0.4244,0.017849,-0.15593,-0.34092,-0.17848,-0.17125,-0.20154,0.59035,0.1007,0.21752,0.10017,-0.4863,-0.68875,-1.0617,-0.69976,-0.80398,-0.89979,-1.0409,-1.3003,-1.1697,-0.91766,-0.56718,-0.31231,-0.10293,-0.22583,0.63944,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.26403,0.77345,0.34612,0.13106,0.35641,0.36731,0.65831,-0.39599,0.059573,0.63156,0.53701,-0.15691,-0.043021,-0.88826,-0.17629,-0.059033,-0.42197,0.79041,0.81878,0.29931,0.18179,0.2712,-0.97569,-1.0438,-0.9692,-1.0135,-1.0511,-0.9907,-1.2263,-1.1304,-0.96341,-0.79122,-0.5549,-0.22529,0.52212,0.62006,0.6662,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.46558,0.47775,0.52574,-0.044165,0.5976,0.31195,0.34043,-0.24084,0.43829,0.43345,0.23177,0.2451,-0.074805,-0.063991,-1.0547,-0.13981,0.072189,-0.11992,1.1914,0.11276,-0.088752,-0.088381,0.17861,0.20834,-1.1737,-0.74812,-0.52725,-0.64189,-0.7088,-0.69578,-0.93122,-0.96348,-0.90365,-0.54728,-0.71776,-0.4994,-0.227,0.5855,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
