@relation SpokenArabicDigits_channel_0

@attribute channel_0_0 numeric
@attribute channel_0_1 numeric
@attribute channel_0_2 numeric
@attribute channel_0_3 numeric
@attribute channel_0_4 numeric
@attribute channel_0_5 numeric
@attribute channel_0_6 numeric
@attribute channel_0_7 numeric
@attribute channel_0_8 numeric
@attribute channel_0_9 numeric
@attribute channel_0_10 numeric
@attribute channel_0_11 numeric
@attribute channel_0_12 numeric
@attribute channel_0_13 numeric
@attribute channel_0_14 numeric
@attribute channel_0_15 numeric
@attribute channel_0_16 numeric
@attribute channel_0_17 numeric
@attribute channel_0_18 numeric
@attribute channel_0_19 numeric
@attribute channel_0_20 numeric
@attribute channel_0_21 numeric
@attribute channel_0_22 numeric
@attribute channel_0_23 numeric
@attribute channel_0_24 numeric
@attribute channel_0_25 numeric
@attribute channel_0_26 numeric
@attribute channel_0_27 numeric
@attribute channel_0_28 numeric
@attribute channel_0_29 numeric
@attribute channel_0_30 numeric
@attribute channel_0_31 numeric
@attribute channel_0_32 numeric
@attribute channel_0_33 numeric
@attribute channel_0_34 numeric
@attribute channel_0_35 numeric
@attribute channel_0_36 numeric
@attribute channel_0_37 numeric
@attribute channel_0_38 numeric
@attribute channel_0_39 numeric
@attribute channel_0_40 numeric
@attribute channel_0_41 numeric
@attribute channel_0_42 numeric
@attribute channel_0_43 numeric
@attribute channel_0_44 numeric
@attribute channel_0_45 numeric
@attribute channel_0_46 numeric
@attribute channel_0_47 numeric
@attribute channel_0_48 numeric
@attribute channel_0_49 numeric
@attribute channel_0_50 numeric
@attribute channel_0_51 numeric
@attribute channel_0_52 numeric
@attribute channel_0_53 numeric
@attribute channel_0_54 numeric
@attribute channel_0_55 numeric
@attribute channel_0_56 numeric
@attribute channel_0_57 numeric
@attribute channel_0_58 numeric
@attribute channel_0_59 numeric
@attribute channel_0_60 numeric
@attribute channel_0_61 numeric
@attribute channel_0_62 numeric
@attribute channel_0_63 numeric
@attribute channel_0_64 numeric
@attribute channel_0_65 numeric
@attribute channel_0_66 numeric
@attribute channel_0_67 numeric
@attribute channel_0_68 numeric
@attribute channel_0_69 numeric
@attribute channel_0_70 numeric
@attribute channel_0_71 numeric
@attribute channel_0_72 numeric
@attribute channel_0_73 numeric
@attribute channel_0_74 numeric
@attribute channel_0_75 numeric
@attribute channel_0_76 numeric
@attribute channel_0_77 numeric
@attribute channel_0_78 numeric
@attribute channel_0_79 numeric
@attribute channel_0_80 numeric
@attribute channel_0_81 numeric
@attribute channel_0_82 numeric
@attribute channel_0_83 numeric
@attribute channel_0_84 numeric
@attribute channel_0_85 numeric
@attribute channel_0_86 numeric
@attribute channel_0_87 numeric
@attribute channel_0_88 numeric
@attribute channel_0_89 numeric
@attribute channel_0_90 numeric
@attribute channel_0_91 numeric
@attribute channel_0_92 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
-0.81101,-0.37028,0.59659,1.4585,2.0824,1.9996,2.5784,2.2584,2.5079,3.2536,1.9234,4.4664,5.3526,5.7302,5.5593,4.9344,3.9894,1.6727,0.9033,1.6812,2.2471,2.0896,3.5244,3.0663,1.7974,1.616,3.6252,4.0024,4.0681,3.6675,2.7454,1.601,1.6011,1.3023,0.93847,0.19664,-0.53611,-0.34113,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-2.5929,-0.099047,-0.91929,0.40189,0.29745,0.84857,0.21616,1.7985,0.59693,1.6634,4.5946,4.8878,4.5962,4.4006,3.7322,2.3295,0.58993,-0.48118,-0.75698,-1.3129,-1.2674,-0.34293,-0.35966,-0.20416,0.29788,2.1961,3.5227,3.8805,4.0463,4.1396,4.202,4.0681,3.6498,2.0907,0.77098,1.2344,1.0111,0.57937,-0.15776,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.2158,1.1349,-1.5079,-0.5161,-0.02711,-1.6597,-1.3784,-0.43715,-0.04066,-0.18317,-0.73947,-1.5227,2.7559,4.1301,4.2316,4.015,4.1767,4.0341,2.478,0.69544,-0.90889,-0.92381,-1.1312,-0.17928,-0.59879,0.11621,-0.54261,-0.45977,2.2331,3.4443,4.1415,4.3201,4.5307,4.6409,4.5704,4.4676,4.1001,2.5862,0.80711,1.0772,1.6994,1.4718,0.39207,0.85087,0.89749,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.51722,2.7784,1.9973,1.6021,1.2373,0.26965,0.33179,-1.5916,2.036,4.5187,4.5882,4.4215,4.2924,3.9833,2.7345,0.6395,-0.29239,-2.1883,-2.4968,-2.8225,-1.867,-1.6372,-0.95828,-0.26967,-0.74703,-0.31097,2.8233,3.5389,3.7857,3.9131,4.006,4.1023,4.0255,3.4796,2.1404,0.11938,0.61661,1.0005,0.5997,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-2.5685,0.38077,1.3043,0.78078,0.88381,0.7818,-0.19688,-1.9125,-2.4949,1.3417,3.4216,3.8419,3.8547,3.3684,3.2434,2.7434,1.3747,-0.30475,-1.998,-3.4282,-4.263,-4.0681,-3.1558,-3.8288,-2.3495,-3.0237,-0.65883,2.7135,3.674,4.0027,4.2343,4.2874,4.1827,3.8008,2.3605,-1.0587,0.11947,-0.08901,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.78117,0.026623,0.24065,0.077781,-1.2259,-3.9626,-3.1353,1.2651,3.3254,3.8232,3.7959,3.3864,3.2627,2.8453,1.4853,-0.12406,-1.9624,-3.643,-4.7014,-4.8776,-6.0031,-6.0542,-4.287,-4.2381,-0.6071,2.6876,3.6573,3.9868,4.2132,4.2822,4.187,3.8456,2.4875,-0.91925,-0.33995,-0.14822,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.3683,-4.5976,-4.252,-0.092795,-5.2113,-2.2701,-1.8763,-0.84916,-1.9272,-2.0366,-3.3417,1.1354,3.9188,4.1797,4.0898,4.1847,4.2367,3.2402,1.3766,-0.25279,-1.9605,-2.2056,-1.8326,-1.4894,-0.97292,-1.4865,-1.3205,1.507,3.1962,3.8626,4.2342,4.4612,4.6228,4.5813,4.5865,4.3627,3.4606,0.8244,0.75405,1.4251,1.8004,0.59646,0.65192,0.96884,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.6171,1.9363,-0.74207,2.9725,4.2775,4.2507,4.2072,4.1893,4.1398,2.9642,0.91968,-0.83549,-2.8495,-3.81,-3.1337,-2.6042,-1.9621,0.55223,3.291,3.8951,4.2355,4.6391,4.5431,4.5616,4.5196,4.3135,3.697,2.3621,1.1356,0.77469,0.87967,0.56327,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-1.0892,-3.3416,-1.8662,-2.375,-1.9728,-1.538,-3.2895,1.172,3.9216,3.5423,3.5872,3.1089,2.1271,0.54612,-1.3162,-3.0284,-3.3803,-2.4922,-3.1412,-2.8578,-3.0651,-2.5073,1.5927,3.8842,4.3462,4.796,4.8333,4.8565,4.8012,4.6188,3.9981,2.24,1.9736,2.1931,1.2282,1.5351,0.84054,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.8495,0.90806,0.75076,-0.089275,-1.4439,-1.6731,-2.5511,1.993,4.3474,4.4834,4.3142,4.1933,3.9197,2.7115,0.85416,-0.32632,-2.2668,-3.6647,-3.3473,-3.1241,-2.9449,-1.7489,-0.35299,-0.8536,-0.21053,2.8022,3.6056,3.7365,3.9673,4.057,4.0874,4.0881,3.5047,2.3389,0.009637,0.79586,1.1997,0.55196,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
